Page path and screen class,Total users_current,Key events_current,Engagement rate_current,User key event rate_current,Week_Start_current,Total users_previous,Key events_previous,Engagement rate_previous,User key event rate_previous,Week_Start_previous,Users_Change,Users_Change_Pct,Key_Events_Change,Key_Events_Change_Pct,Engagement_Change,Week_Comparison,Current_Week,Previous_Week
/about/payfactors-terms-and-conditions/,2.0,0.0,0.0,0.0,2025-09-08 00:00:00,1.0,0.0,0.0,0.0,2025-09-01 00:00:00,1.0,100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payment-success,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,3.0,0.0,1.0,0.0,2025-09-01 00:00:00,-2.0,-66.66666666666666,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payment-unsuccessful,1.0,0.0,0.5,0.0,2025-09-08 00:00:00,3.0,0.0,1.0,0.0,2025-09-01 00:00:00,-2.0,-66.66666666666666,0.0,0.0,-0.5,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/peer-terms-of-use,2.0,0.0,0.75,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,2.0,100.0,0.0,0.0,0.75,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/press-releases,4.0,0.0,0.75,0.0,2025-09-08 00:00:00,5.0,0.0,0.8,0.0,2025-09-01 00:00:00,-1.0,-20.0,0.0,0.0,-0.050000000000000044,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/press-releases/lists/press-releases/payscale-announces-majority-investment-of-up-to-$100-million-from-warburg-pincus,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/press-releases/new-payscale-study-reveals-employees-perceptions-pay-fairness-transparency-five-times-impactful-engagement-actual-compensation;,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy,91.0,0.0,0.8994047619047619,0.0,2025-09-08 00:00:00,49.0,0.0,0.9166666666666667,0.0,2025-09-01 00:00:00,42.0,85.71428571428571,0.0,0.0,-0.01726190476190481,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy.pdf,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/,604.0,0.0,0.7514881202975677,0.0,2025-09-08 00:00:00,120.0,0.0,0.7512407562115164,0.0,2025-09-01 00:00:00,484.0,403.3333333333333,0.0,0.0,0.0002473640860513049,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/.pdf,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/contact-prefe=,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/contact-preferences-center,705.0,0.0,0.8330656813392109,0.0,2025-09-08 00:00:00,795.0,0.0,0.8271111644931095,0.0,2025-09-01 00:00:00,-90.0,-11.320754716981133,0.0,0.0,0.0059545168461013764,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/contact-preferences-center/,273.0,0.0,0.7800210084033613,0.0,2025-09-08 00:00:00,338.0,0.0,0.5655953658972983,0.0,2025-09-01 00:00:00,-65.0,-19.230769230769234,0.0,0.0,0.214425642506063,Week 2 vs Week 1,2025-09-08,2025-09-01
